date,subject,message,station,cause,key,category_name,borough,line,reason
11/30/22 20:35,"BX, 6 Train, Local to Express","Northbound 6 trains are running express from Parkchester to Pelham Bay Park. If your stop is skipped, take a southbound train. We are addressing a switch malfunction near Pelham Bay Park.",Pelham Bay Park,switch,switch,Switch Malfunction,['BX'],6,Local to Express
11/30/22 20:27,"MANH, F and M Trains, Delays",Brooklyn-bound F/M trains are delayed while we request EMS assistance for a person in need at 14 St.,14 St,EMS,EMS,Medical Emergency,['MANH'],F,Delays
11/30/22 20:27,"MANH, F and M Trains, Delays",Brooklyn-bound F/M trains are delayed while we request EMS assistance for a person in need at 14 St.,14 St,EMS,EMS,Medical Emergency,['MANH'],M,Delays
11/30/22 20:01,"BKLYN, A and C Trains, Delays",Southbound A/C trains are delayed while we work to correct a signal malfunction at Jay St-MetroTech.,Jay St-MetroTech,signal,signal,Singal Malfunction,['BKLYN'],A,Delays
11/30/22 20:01,"BKLYN, A and C Trains, Delays",Southbound A/C trains are delayed while we work to correct a signal malfunction at Jay St-MetroTech.,Jay St-MetroTech,signal,signal,Singal Malfunction,['BKLYN'],C,Delays
11/30/22 19:47,"MANH, 2 and 3 Trains, Express to Local",Northbound 2/3 trains are running on the local track from Chambers St to 34 St-Penn Station. We're investigating why a train's brakes were activated near Houston St.,Houston St,brake,brake,Brake Malfunction,['MANH'],2,Express to Local
11/30/22 19:47,"MANH, 2 and 3 Trains, Express to Local",Northbound 2/3 trains are running on the local track from Chambers St to 34 St-Penn Station. We're investigating why a train's brakes were activated near Houston St.,Houston St,brake,brake,Brake Malfunction,['MANH'],3,Express to Local
11/30/22 18:52,"BKLYN, N Train, Delays",Southbound N trains are running with delays after we moved a train that had its brakes activated at New Utrecht Av.,New Utrecht Av,brake,brake,Brake Malfunction,['BKLYN'],N,Delays
11/30/22 18:28,"QNS, M and R Trains, Delays",71 Av-bound M/R trains are delayed while we request EMS assistance for someone in need at Jackson Hts-Roosevelt Av.,Jackson Hts-Roosevelt Av,EMS,EMS,Medical Emergency,['QNS'],M,Delays
11/30/22 18:28,"QNS, M and R Trains, Delays",71 Av-bound M/R trains are delayed while we request EMS assistance for someone in need at Jackson Hts-Roosevelt Av.,Jackson Hts-Roosevelt Av,EMS,EMS,Medical Emergency,['QNS'],R,Delays
11/30/22 18:19,"MANH, R and W Trains, Delays",Northbound R/W trains are delayed while we request NYPD assistance with a person being disruptive at 49 St.,49 St,disruptive,disruptive,Disruptive Passenger,['MANH'],R,Delays
11/30/22 18:19,"MANH, R and W Trains, Delays",Northbound R/W trains are delayed while we request NYPD assistance with a person being disruptive at 49 St.,49 St,disruptive,disruptive,Disruptive Passenger,['MANH'],W,Delays
11/30/22 17:53,"BX, 2 and 5 Trains, Delays",Northbound 2/5 trains are delayed while we investigate why a train's brakes activated at West Farms Sq-E Tremont Av.,West Farms Sq-E Tremont Av,brake,brake,Brake Malfunction,['BX'],2,Delays
11/30/22 17:53,"BX, 2 and 5 Trains, Delays",Northbound 2/5 trains are delayed while we investigate why a train's brakes activated at West Farms Sq-E Tremont Av.,West Farms Sq-E Tremont Av,brake,brake,Brake Malfunction,['BX'],5,Delays
11/30/22 17:14,"BKLYN, 2, 3, and 5 Trains, Delays",Northbound 2/3/5 trains are delayed while we remove a train with a mechanical problem from service at Borough Hall.,Borough Hall,mechanical problem,mechanical problem,Mechanical Problem,['BKLYN'],2,Delays
11/30/22 17:14,"BKLYN, 2, 3, and 5 Trains, Delays",Northbound 2/3/5 trains are delayed while we remove a train with a mechanical problem from service at Borough Hall.,Borough Hall,mechanical problem,mechanical problem,Mechanical Problem,['BKLYN'],3,Delays
11/30/22 17:14,"BKLYN, 2, 3, and 5 Trains, Delays",Northbound 2/3/5 trains are delayed while we remove a train with a mechanical problem from service at Borough Hall.,Borough Hall,mechanical problem,mechanical problem,Mechanical Problem,['BKLYN'],5,Delays
11/30/22 17:05,"MANH, A and D Trains, Delays",Southbound A/D trains are delayed while EMS responds to a person in need at 59 St-Columbus Circle.,59 St-Columbus Circle,EMS,EMS,Medical Emergency,['MANH'],A,Delays
11/30/22 17:05,"MANH, A and D Trains, Delays",Southbound A/D trains are delayed while EMS responds to a person in need at 59 St-Columbus Circle.,59 St-Columbus Circle,EMS,EMS,Medical Emergency,['MANH'],D,Delays
11/30/22 17:03,"MANH, F and M Trains, Delays",Jamaica-bound F and Forest Hills-bound M trains are delayed while EMS responds to someone in need at 47-50 Sts-Rockefeller Ctr.,47-50 Sts-Rockefeller Ctr,EMS,EMS,Medical Emergency,['MANH'],F,Delays
11/30/22 17:03,"MANH, F and M Trains, Delays",Jamaica-bound F and Forest Hills-bound M trains are delayed while EMS responds to someone in need at 47-50 Sts-Rockefeller Ctr.,47-50 Sts-Rockefeller Ctr,EMS,EMS,Medical Emergency,['MANH'],M,Delays
11/30/22 17:00,"MANH, 4 and 5 Trains, Delays",4/5 trains are delayed in both directions while we work to address a signal malfunction at 86 St.,86 St,signal,signal,Singal Malfunction,['MANH'],4,Delays
11/30/22 17:00,"MANH, 4 and 5 Trains, Delays",4/5 trains are delayed in both directions while we work to address a signal malfunction at 86 St.,86 St,signal,signal,Singal Malfunction,['MANH'],5,Delays
11/30/22 16:59,"BX, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we work to address a switch malfunction near 149 St-Grand Concourse.,149 St-Grand Concourse,switch,switch,Switch Malfunction,['BX'],4,Delays
11/30/22 16:59,"BX, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we work to address a switch malfunction near 149 St-Grand Concourse.,149 St-Grand Concourse,switch,switch,Switch Malfunction,['BX'],5,Delays
11/30/22 16:48,"MANH, B and D Trains, Delays",Northbound B/D trains are delayed while we address a signal problem near 7 Av.,7 Av,signal,signal,Singal Malfunction,['MANH'],B,Delays
11/30/22 16:48,"MANH, B and D Trains, Delays",Northbound B/D trains are delayed while we address a signal problem near 7 Av.,7 Av,signal,signal,Singal Malfunction,['MANH'],D,Delays
11/30/22 16:12,"QNS, A and Rockaway Park S Trains, Delays",A/H trains are delayed in The Rockaways while we address a signal problem at Broad Channel.,Broad Channel,signal,signal,Singal Malfunction,['QNS'],A,Delays
11/30/22 16:12,"QNS, A and Rockaway Park S Trains, Delays",A/H trains are delayed in The Rockaways while we address a signal problem at Broad Channel.,Broad Channel,signal,signal,Singal Malfunction,['QNS'],Rockaway Park S,Delays
11/30/22 16:06,"BKLYN, D and N Trains, Delays",Southbound D/N trains are delayed while we request NYPD assistance with people being disruptive on a train at 36 St.,36 St,disruptive,disruptive,Disruptive Passenger,['BKLYN'],D,Delays
11/30/22 16:06,"BKLYN, D and N Trains, Delays",Southbound D/N trains are delayed while we request NYPD assistance with people being disruptive on a train at 36 St.,36 St,disruptive,disruptive,Disruptive Passenger,['BKLYN'],N,Delays
11/30/22 15:51,"MANH, B and D Trains, Delays",Northbound B/D trains are delayed while we address a signal problem near 7 Av.,7 Av,signal,signal,Singal Malfunction,['MANH'],B,Delays
11/30/22 15:51,"MANH, B and D Trains, Delays",Northbound B/D trains are delayed while we address a signal problem near 7 Av.,7 Av,signal,signal,Singal Malfunction,['MANH'],D,Delays
11/30/22 15:47,"MANH, F and M Trains, Delays",Jamaica-bound F and Forest Hills-bound M trains are running with delays after NYPD responded to a person being disruptive at 34 St-Herald Sq.,34 St-Herald Sq,disruptive,disruptive,Disruptive Passenger,['MANH'],F,Delays
11/30/22 15:47,"MANH, F and M Trains, Delays",Jamaica-bound F and Forest Hills-bound M trains are running with delays after NYPD responded to a person being disruptive at 34 St-Herald Sq.,34 St-Herald Sq,disruptive,disruptive,Disruptive Passenger,['MANH'],M,Delays
11/30/22 15:25,"QNS, 7 Train, Multiple Changes","There is extremely limited 7 service between 34 St-Hudson Yards and Queensboro Plaza while we conduct urgent track maintenance near Vernon Blvd-Jackson Av. Hudson Yards-bound 7 trains will arrive on the Flushing-bound track from Hunters Point Av to 5 Av. 7X service is suspended. As an alternative for service between Manhattan and Queens, consider using an N/W train. For service in Manhattan, consider an S train. For service to/from 34 St-Hudson Yards, consider an M34-SBS bus to/from stations along 34 St. LIRR will accommodate MetroCard/OMNY holders at no additional charge at Penn Station, Woodside, Forest Hills, Kew Gardens, Jamaica, and Flushing.",Vernon Blvd-Jackson Av,track maintenance,track maintenance,Track Maintenance,['QNS'],7,Multiple Changes
11/30/22 15:23,"BX, 6 Train, Delays",Northbound 6 trains are delayed while we work to correct a switch malfunction near Buhre Av.,Buhre Av,switch,switch,Switch Malfunction,['BX'],6,Delays
11/30/22 15:14,"MANH, A Train, Delays",Southbound A trains are running with delays after we removed a train with a mechanical problem from service at 190 St.,190 St,mechanical problem,mechanical problem,Mechanical Problem,['MANH'],A,Delays
11/30/22 14:14,"BX, 5 Train, Delays",Southbound 5 trains are delayed while we investigate why a train's brakes activated at Morris Park.,Morris Park,brake,brake,Brake Malfunction,['BX'],5,Delays
11/30/22 14:14,"MANH, 6 Train, Delays",Northbound 6 trains are delayed while we remove a train with a door problem from service at 51 St.,51 St,door,door,Mechanical Problem,['MANH'],6,Delays
11/30/22 14:13,"QNS, 7 Train, Multiple Changes","There is extremely limited 7 service between 34 St-Hudson Yards and Queensboro Plaza while we conduct urgent track maintenance near Vernon Blvd-Jackson Av. Hudson Yards-bound 7 trains will arrive on the Flushing-bound track from Hunters Point Av to 5 Av. As an alternative for service between Manhattan and Queens, consider using an N/W train. For service in Manhattan, consider an S train. For service to/from 34 St-Hudson Yards, consider an M34-SBS bus to/from stations along 34 St.",Vernon Blvd-Jackson Av,track maintenance,track maintenance,Track Maintenance,['QNS'],7,Multiple Changes
11/30/22 13:45,"BKLYN, N Train, Delays",Northbound N trains are delayed while we investigate why a train's brakes activated at Bay Pkwy.,Bay Pkwy,brake,brake,Brake Malfunction,['BKLYN'],N,Delays
11/30/22 13:37,"QNS, 7 Train, Delays","There is extremely limited 7 service between 34 St-Hudson Yards and Queensboro Plaza while we conduct urgent track maintenance near Vernon Blvd-Jackson Av. Hudson Yards-bound 7 trains will arrive on the Flushing-bound track at Hunters Point Av and Vernon Blvd-Jackson Av. As an alternative for service between Manhattan and Queens, consider using an N/W train. For service in Manhattan, consider an S train. For service to/from 34 St-Hudson Yards, consider an M34-SBS bus to/from stations along 34 St.",Vernon Blvd-Jackson Av,track maintenance,track maintenance,Track Maintenance,['QNS'],7,Delays
11/30/22 13:22,"MANH, B Train, Some Delays",You may wait longer for a southbound B train after we addressed a door problem on a train at 125 St.,125 St,door,door,Mechanical Problem,['MANH'],B,Some Delays
11/30/22 13:12,"MANH, QNS, 7 Train, Part Suspended","There is no 7 service between 34 St-Hudson Yards and Queensboro Plaza in both directions. We are investigating what caused a train's brakes to activate near Vernon Blvd-Jackson Av. As an alternative, consider using an N/W train. For service in Manhattan, take an S train.",Vernon Blvd-Jackson Av,brake,brake,Brake Malfunction,"['MANH', 'QNS']",7,Part Suspended
11/30/22 13:02,"MANH, A and C Trains, Delays",Northbound A/C trains are delayed while we conduct an investigation at Canal St.,Canal St,na,na,Unknown Cause,['MANH'],A,Delays
11/30/22 13:02,"MANH, A and C Trains, Delays",Northbound A/C trains are delayed while we conduct an investigation at Canal St.,Canal St,na,na,Unknown Cause,['MANH'],C,Delays
11/30/22 12:21,"MANH, C and E Trains, Local to Express",Northbound E trains express from Canal St to 42 St-Port Authority Bus Terminal. Northbound C trains express from Canal St to 59 St-Columbus Circle. EMS is responding to someone in need of medical help at 14 St.,14 St,EMS,EMS,Medical Emergency,['MANH'],C,Local to Express
11/30/22 12:21,"MANH, C and E Trains, Local to Express",Northbound E trains express from Canal St to 42 St-Port Authority Bus Terminal. Northbound C trains express from Canal St to 59 St-Columbus Circle. EMS is responding to someone in need of medical help at 14 St.,14 St,EMS,EMS,Medical Emergency,['MANH'],E,Local to Express
11/30/22 11:52,"BKLYN, N Train, Local to Express","Northbound N trains are running express from Kings Hwy to 59 St while we remove a tree from the tracks near 8 Av. If your station is skipped, take a northbound train.",8 Av,tree,tree,Track Maintenance,['BKLYN'],N,Local to Express
11/30/22 11:40,"BX, 6 Train, Part Suspended",6 trains are not running between Westchester Sq-E Tremont Av and Pelham Bay Park while we address a switch problem at Pelham Bay Park. Use Bx24 buses making nearby station stops.,Pelham Bay Park,switch,switch,Switch Malfunction,['BX'],6,Part Suspended
11/30/22 11:36,"BKLYN, N Train, Trains Rerouted","Northbound N trains are running on the D line from Coney Island-Stillwell Av to 36 St while we remove a tree from the tracks near 8 Av. If your station is skipped, take a southbound N train to New Utrecht Av or Coney Island-Stillwell Av for service to Manhattan.",8 Av,tree,tree,Track Maintenance,['BKLYN'],N,Trains Rerouted
11/30/22 11:13,"MANH, B and D Trains, Delays",B/D trains are running with delays in both directions while we address a signal problem at 7 Av.,7 Av,signal,signal,Singal Malfunction,['MANH'],B,Delays
11/30/22 11:13,"MANH, B and D Trains, Delays",B/D trains are running with delays in both directions while we address a signal problem at 7 Av.,7 Av,signal,signal,Singal Malfunction,['MANH'],D,Delays
11/30/22 11:02,"BKLYN, A and C Trains, Multiple Changes",Northbound A trains are running on the local track from Broadway Junction to Hoyt-Schermerhorn Sts. We are investigating what caused a train's brakes to activate near Broadway Junction. You may wait longer for a northbound C train while they share the track with rerouted trains.,Broadway Junction,brake,brake,Brake Malfunction,['BKLYN'],A,Multiple Changes
11/30/22 11:02,"BKLYN, A and C Trains, Multiple Changes",Northbound A trains are running on the local track from Broadway Junction to Hoyt-Schermerhorn Sts. We are investigating what caused a train's brakes to activate near Broadway Junction. You may wait longer for a northbound C train while they share the track with rerouted trains.,Broadway Junction,brake,brake,Brake Malfunction,['BKLYN'],C,Multiple Changes
11/30/22 10:12,"MANH, 1 Train, Delays",Northbound 1 trains are delayed while we investigate a mechanical problem on a train at 28 St.,28 St,mechanical problem,mechanical problem,Mechanical Problem,['MANH'],1,Delays
11/30/22 9:55,"MANH, F Train, Delays",Southbound F trains are running with delays after we assisted someone who needs medical help at Lexington Av/63 St.,Lexington Av/63 St,medical help,medical help,Medical Emergency,['MANH'],F,Delays
11/30/22 9:39,"QNS, J Train, Delays",Jamaica-bound J trains are delayed while we request NYPD assistance for a person being disruptive at Woodhaven Blvd.,Woodhaven Blvd,disruptive,disruptive,Disruptive Passenger,['QNS'],J,Delays
11/30/22 9:29,"B and D Trains, Multiple Changes","Northbound B/D trains are running with significant delays in Manhattan. Take F/M or A/C/E trains instead. Some northbound D trains will run on the C from W 4 St-Wash Sq to 59 St-Columbus Circle to avoid congestion. What's Happening? We are addressing a signal problem near 7 Av. Alternatives For service to stations from W 4 St-Wash Sq to 47-50 Sts-Rockefeller Ctr, take F/M trains. For service to 7 Av, transfer to E trains at W 4 St-Wash Sq. For service through to Central Park W and the Bronx, transfer to A/C trains at W 4 St-Wash Sq.",7 Av,signal,signal,Singal Malfunction,[],B,Multiple Changes
11/30/22 9:29,"B and D Trains, Multiple Changes","Northbound B/D trains are running with significant delays in Manhattan. Take F/M or A/C/E trains instead. Some northbound D trains will run on the C from W 4 St-Wash Sq to 59 St-Columbus Circle to avoid congestion. What's Happening? We are addressing a signal problem near 7 Av. Alternatives For service to stations from W 4 St-Wash Sq to 47-50 Sts-Rockefeller Ctr, take F/M trains. For service to 7 Av, transfer to E trains at W 4 St-Wash Sq. For service through to Central Park W and the Bronx, transfer to A/C trains at W 4 St-Wash Sq.",7 Av,signal,signal,Singal Malfunction,[],D,Multiple Changes
11/30/22 9:18,"QNS, 7 Train, Some Delays",Flushing-bound 7 trains are running with delays after a train's brakes activated at Queensboro Plaza.,Queensboro Plaza,brake,brake,Brake Malfunction,['QNS'],7,Some Delays
11/30/22 9:18,"BKLYN, D and N Trains, Multiple Changes",There is no D service between 36 St and Coney Island-Stillwell Av while we extinguish a track fire near 9 Av. D trains are running via the N line between 36 St and Coney Island-Stillwell Av in both directions. You may wait longer for an N train while they share the tracks with rerouted trains.,9 Av,fire,fire,Fire or Flooding,['BKLYN'],D,Multiple Changes
11/30/22 9:18,"BKLYN, D and N Trains, Multiple Changes",There is no D service between 36 St and Coney Island-Stillwell Av while we extinguish a track fire near 9 Av. D trains are running via the N line between 36 St and Coney Island-Stillwell Av in both directions. You may wait longer for an N train while they share the tracks with rerouted trains.,9 Av,fire,fire,Fire or Flooding,['BKLYN'],N,Multiple Changes
11/30/22 8:57,"MANH, B, C, D, and E Trains, Multiple Changes",Some northbound D trains will run on the C from W 4 St-Wash Sq to 59 St-Columbus Circle. Northbound B/D trains are running at slow speeds in Midtown. We are addressing a signal problem near 7 Av You may wait longer for a northbound C/E train while they share the track with rerouted trains.,7 Av,signal,signal,Singal Malfunction,['MANH'],B,Multiple Changes
11/30/22 8:57,"MANH, B, C, D, and E Trains, Multiple Changes",Some northbound D trains will run on the C from W 4 St-Wash Sq to 59 St-Columbus Circle. Northbound B/D trains are running at slow speeds in Midtown. We are addressing a signal problem near 7 Av You may wait longer for a northbound C/E train while they share the track with rerouted trains.,7 Av,signal,signal,Singal Malfunction,['MANH'],C,Multiple Changes
11/30/22 8:57,"MANH, B, C, D, and E Trains, Multiple Changes",Some northbound D trains will run on the C from W 4 St-Wash Sq to 59 St-Columbus Circle. Northbound B/D trains are running at slow speeds in Midtown. We are addressing a signal problem near 7 Av You may wait longer for a northbound C/E train while they share the track with rerouted trains.,7 Av,signal,signal,Singal Malfunction,['MANH'],D,Multiple Changes
11/30/22 8:57,"MANH, B, C, D, and E Trains, Multiple Changes",Some northbound D trains will run on the C from W 4 St-Wash Sq to 59 St-Columbus Circle. Northbound B/D trains are running at slow speeds in Midtown. We are addressing a signal problem near 7 Av You may wait longer for a northbound C/E train while they share the track with rerouted trains.,7 Av,signal,signal,Singal Malfunction,['MANH'],E,Multiple Changes
11/30/22 8:44,"BKLYN, QNS, J and M Trains, Multiple Changes","There is no M service between Myrtle Av and Middle Village-Metropolitan Av while FDNY extinguishes a building fire near Middle Village-Metropolitan Av. Middle Village-bound M trains will end at Myrtle Av (Broadway), 2 Av on the F line or Broadway Junction on the J line. As an alternative, considering using a Q54, B13 or B54 bus. Some Broad St-bound J trains are running local from Myrtle Av to Marcy Av to provide additional service. Note: Q54 buses at Middle Village-Metropolitan Av are detoured and will board at 69th St/Juniper Valley Rd.",Middle Village-Metropolitan Av,fire,fire,Fire or Flooding,"['BKLYN', 'QNS']",J,Multiple Changes
11/30/22 8:44,"BKLYN, QNS, J and M Trains, Multiple Changes","There is no M service between Myrtle Av and Middle Village-Metropolitan Av while FDNY extinguishes a building fire near Middle Village-Metropolitan Av. Middle Village-bound M trains will end at Myrtle Av (Broadway), 2 Av on the F line or Broadway Junction on the J line. As an alternative, considering using a Q54, B13 or B54 bus. Some Broad St-bound J trains are running local from Myrtle Av to Marcy Av to provide additional service. Note: Q54 buses at Middle Village-Metropolitan Av are detoured and will board at 69th St/Juniper Valley Rd.",Middle Village-Metropolitan Av,fire,fire,Fire or Flooding,"['BKLYN', 'QNS']",M,Multiple Changes
11/30/22 8:11,"BKLYN, QNS, M Train, Part Suspended",There is no M service between Myrtle Av and Middle Village-Metropolitan Av while FDNY extinguishes a building fire near Middle Village-Metropolitan Av. Middle Village-bound M trains will end at Broadway Junction on the J line.,Middle Village-Metropolitan Av,fire,fire,Fire or Flooding,"['BKLYN', 'QNS']",M,Part Suspended
11/30/22 8:08,"BKLYN, Q Train, Delays",Northbound Q trains are delayed while we address a signal problem at Newkirk Plaza.,Newkirk Plaza,signal,signal,Singal Malfunction,['BKLYN'],Q,Delays
11/30/22 7:46,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we remove a train with a mechanical problem from service at 125 St.,125 St,mechanical problem,mechanical problem,Mechanical Problem,['MANH'],4,Delays
11/30/22 7:46,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we remove a train with a mechanical problem from service at 125 St.,125 St,mechanical problem,mechanical problem,Mechanical Problem,['MANH'],5,Delays
11/30/22 7:21,"BKLYN, D, N, and R Trains, Delays",Southbound D/N/R trains are delayed while we address a door problem on a train at Union St.,Union St,door,door,Mechanical Problem,['BKLYN'],D,Delays
11/30/22 7:21,"BKLYN, D, N, and R Trains, Delays",Southbound D/N/R trains are delayed while we address a door problem on a train at Union St.,Union St,door,door,Mechanical Problem,['BKLYN'],N,Delays
11/30/22 7:21,"BKLYN, D, N, and R Trains, Delays",Southbound D/N/R trains are delayed while we address a door problem on a train at Union St.,Union St,door,door,Mechanical Problem,['BKLYN'],R,Delays
11/30/22 5:57,"BX, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we request EMS for a person in need and remove a train from service at 138 St-Grand Concourse.,138 St-Grand Concourse,EMS,EMS,Medical Emergency,['BX'],4,Delays
11/30/22 5:57,"BX, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we request EMS for a person in need and remove a train from service at 138 St-Grand Concourse.,138 St-Grand Concourse,EMS,EMS,Medical Emergency,['BX'],5,Delays
11/30/22 5:07,"QNS, A Train, Part Suspended","A trains are not running between Broad Channel and Far Rockaway-Mott Av in both directions while we work to remove debris from the tracks at Beach 25 St. Far Rockaway-bound A trains are running to/from Rockaway Park-Beach 116 St. Some southbound A trains will end at Howard Beach-JFK Airport or Ozone Park-Lefferts Blvd. For service between Broad Channel and Far Rockaway-Mott Av, consider using Q22 or Q53-SBS service.",Beach 25 St,remove debris,remove debris,Track Maintenance,['QNS'],A,Part Suspended
11/30/22 5:03,"MANH, 1 Train, Some Reroutes","Southbound 1 trains are delayed while we remove a train from service and request EMS for a person in need at 103 St. Some southbound 1 trains will run express from 137 St-City College to 96 St. For service to/from bypassed stations, take a northbound 1 train.",103 St,EMS,EMS,Medical Emergency,['MANH'],1,Some Reroutes
11/30/22 4:44,"A Train, Delays",Northbound A trains are delayed while we work to remove debris from the tracks at Beach 25 St.,Beach 25 St,remove debris,remove debris,Track Maintenance,[],A,Delays
11/30/22 4:20,"BKLYN, N and Q Trains, Multiple Changes","There are no Q trains from Prospect Park to Atlantic Av-Barclays Ctr while we address a switch malfunction near Atlantic Av-Barclays Ctr. Northbound Q trains will end at Prospect Park and turn for southbound service. For continued service into Manhattan, consider D/N trains. Expect delays in northbound N trains while they share the track with rerouted trains.",Atlantic Av-Barclays Ctr,switch,switch,Switch Malfunction,['BKLYN'],N,Multiple Changes
11/30/22 4:20,"BKLYN, N and Q Trains, Multiple Changes","There are no Q trains from Prospect Park to Atlantic Av-Barclays Ctr while we address a switch malfunction near Atlantic Av-Barclays Ctr. Northbound Q trains will end at Prospect Park and turn for southbound service. For continued service into Manhattan, consider D/N trains. Expect delays in northbound N trains while they share the track with rerouted trains.",Atlantic Av-Barclays Ctr,switch,switch,Switch Malfunction,['BKLYN'],Q,Multiple Changes
11/30/22 3:29,"BKLYN, Q Train, Delays",Northbound Q trains are delayed while we address a switch problem near Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,switch,switch,Switch Malfunction,['BKLYN'],Q,Delays
11/30/22 3:04,"BKLYN, MANH, D, N, and Q Trains, Multiple Changes",Some northbound Q trains are running on the N line from DeKalb Av to Canal St. We're performing track maintenance near Grand St. Expect delays in northbound D/N/Q service.,Grand St,track maintenance,track maintenance,Track Maintenance,"['BKLYN', 'MANH']",D,Multiple Changes
11/30/22 3:04,"BKLYN, MANH, D, N, and Q Trains, Multiple Changes",Some northbound Q trains are running on the N line from DeKalb Av to Canal St. We're performing track maintenance near Grand St. Expect delays in northbound D/N/Q service.,Grand St,track maintenance,track maintenance,Track Maintenance,"['BKLYN', 'MANH']",N,Multiple Changes
11/30/22 3:04,"BKLYN, MANH, D, N, and Q Trains, Multiple Changes",Some northbound Q trains are running on the N line from DeKalb Av to Canal St. We're performing track maintenance near Grand St. Expect delays in northbound D/N/Q service.,Grand St,track maintenance,track maintenance,Track Maintenance,"['BKLYN', 'MANH']",Q,Multiple Changes
11/30/22 2:25,"QNS, E Train, Delays",Northbound E trains are delayed while we perform track maintenance at Queens Plaza.,Queens Plaza,track maintenance,track maintenance,Track Maintenance,['QNS'],E,Delays
11/30/22 1:48,"MANH, 2 Train, Delays",2 trains are delayed in both directions while we perform track maintenance at Wall St.,Wall St,track maintenance,track maintenance,Track Maintenance,['MANH'],2,Delays
11/30/22 1:18,"MANH, 2 Train, Local to Express","Southbound 2 trains are running express between 14 St and Chambers St while we perform track maintenance. For local service, take a southbound 1 train.",na,track maintenance,track maintenance,Track Maintenance,['MANH'],2,Local to Express
11/30/22 0:59,"MANH, Q Train, Delays",Southbound Q trains are delayed while NYPD responds to a person being disruptive at Times Sq-42 St.,Times Sq-42 St,disruptive,disruptive,Disruptive Passenger,['MANH'],Q,Delays
11/30/22 0:57,"MANH, R Train, Delays",Northbound R trains are delayed while NYPD responds to a person being disruptive at 86 St.,86 St,disruptive,disruptive,Disruptive Passenger,['MANH'],R,Delays
11/29/22 23:48,"BKLYN, D Train, Trains Rerouted","Northbound D trains are running along the N line from Coney Island-Stillwell Av to 36 St while we address a switch malfunction near 36 St. For service to/from bypassed stations, take a southbound train. Expect delays in northbound N service while they share the track with rerouted trains.",36 St,switch,switch,Switch Malfunction,['BKLYN'],D,Trains Rerouted
11/29/22 23:29,"MANH, 42 St S Train, Suspended","S service is suspended in both directions while NYPD conducts an investigation at Times Sq-42 St. As an alternative, consider using 7 service on the lower level.",Times Sq-42 St,investigation,investigation,Police Activity,['MANH'],42 St S,Suspended
11/29/22 22:23,"MANH, N and R Trains, Delays",N/R trains are delayed in both directions while we address a train with a mechanical problem near Lexington Av/59 St.,Lexington Av/59 St,mechanical problem,mechanical problem,Mechanical Problem,['MANH'],N,Delays
