index,date,agency,subject,message,station,cause
105,11/30/22 11:40,NYC,"BX, 6 Train, Part Suspended",6 trains are not running between Westchester Sq-E Tremont Av and Pelham Bay Park while we address a switch problem at Pelham Bay Park. Use Bx24 buses making nearby station stops.,Pelham Bay Park,switch
106,11/30/22 11:36,NYC,"BKLYN, N Train, Trains Rerouted","Northbound N trains are running on the D line from Coney Island-Stillwell Av to 36 St while we remove a tree from the tracks near 8 Av. If your station is skipped, take a southbound N train to New Utrecht Av or Coney Island-Stillwell Av for service to Manhattan.",8 Av,tree
108,11/30/22 11:13,NYC,"MANH, B and D Trains, Delays",B/D trains are running with delays in both directions while we address a signal problem at 7 Av.,7 Av,signal
109,11/30/22 11:02,NYC,"BKLYN, A and C Trains, Multiple Changes",Northbound A trains are running on the local track from Broadway Junction to Hoyt-Schermerhorn Sts. We are investigating what caused a train's brakes to activate near Broadway Junction. You may wait longer for a northbound C train while they share the track with rerouted trains.,Broadway Junction,brake
111,11/30/22 10:12,NYC,"MANH, 1 Train, Delays",Northbound 1 trains are delayed while we investigate a mechanical problem on a train at 28 St.,28 St,mechanical problem
114,11/30/22 9:55,NYC,"MANH, F Train, Delays",Southbound F trains are running with delays after we assisted someone who needs medical help at Lexington Av/63 St.,Lexington Av/63 St,medical help
117,11/30/22 9:39,NYC,"QNS, J Train, Delays",Jamaica-bound J trains are delayed while we request NYPD assistance for a person being disruptive at Woodhaven Blvd.,Woodhaven Blvd,disruptive
118,11/30/22 9:29,NYC,"B and D Trains, Multiple Changes","Northbound B/D trains are running with significant delays in Manhattan. Take F/M or A/C/E trains instead. Some northbound D trains will run on the C from W 4 St-Wash Sq to 59 St-Columbus Circle to avoid congestion. What's Happening? We are addressing a signal problem near 7 Av. Alternatives For service to stations from W 4 St-Wash Sq to 47-50 Sts-Rockefeller Ctr, take F/M trains. For service to 7 Av, transfer to E trains at W 4 St-Wash Sq. For service through to Central Park W and the Bronx, transfer to A/C trains at W 4 St-Wash Sq.",7 Av,signal
120,11/30/22 9:18,NYC,"QNS, 7 Train, Some Delays",Flushing-bound 7 trains are running with delays after a train's brakes activated at Queensboro Plaza.,Queensboro Plaza,brake
121,11/30/22 9:18,NYC,"BKLYN, D and N Trains, Multiple Changes",There is no D service between 36 St and Coney Island-Stillwell Av while we extinguish a track fire near 9 Av. D trains are running via the N line between 36 St and Coney Island-Stillwell Av in both directions. You may wait longer for an N train while they share the tracks with rerouted trains.,9 Av,fire
122,11/30/22 8:57,NYC,"MANH, B, C, D, and E Trains, Multiple Changes",Some northbound D trains will run on the C from W 4 St-Wash Sq to 59 St-Columbus Circle. Northbound B/D trains are running at slow speeds in Midtown. We are addressing a signal problem near 7 Av You may wait longer for a northbound C/E train while they share the track with rerouted trains.,7 Av,signal
123,11/30/22 8:44,NYC,"BKLYN, QNS, J and M Trains, Multiple Changes","There is no M service between Myrtle Av and Middle Village-Metropolitan Av while FDNY extinguishes a building fire near Middle Village-Metropolitan Av. Middle Village-bound M trains will end at Myrtle Av (Broadway), 2 Av on the F line or Broadway Junction on the J line. As an alternative, considering using a Q54, B13 or B54 bus. Some Broad St-bound J trains are running local from Myrtle Av to Marcy Av to provide additional service. Note: Q54 buses at Middle Village-Metropolitan Av are detoured and will board at 69th St/Juniper Valley Rd.",Middle Village-Metropolitan Av,fire
125,11/30/22 8:11,NYC,"BKLYN, QNS, M Train, Part Suspended",There is no M service between Myrtle Av and Middle Village-Metropolitan Av while FDNY extinguishes a building fire near Middle Village-Metropolitan Av. Middle Village-bound M trains will end at Broadway Junction on the J line.,Middle Village-Metropolitan Av,fire
126,11/30/22 8:08,NYC,"BKLYN, Q Train, Delays",Northbound Q trains are delayed while we address a signal problem at Newkirk Plaza.,Newkirk Plaza,signal
128,11/30/22 7:46,NYC,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we remove a train with a mechanical problem from service at 125 St.,125 St,mechanical problem
130,11/30/22 7:21,NYC,"BKLYN, D, N, and R Trains, Delays",Southbound D/N/R trains are delayed while we address a door problem on a train at Union St.,Union St,door
132,11/30/22 5:57,NYC,"BX, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we request EMS for a person in need and remove a train from service at 138 St-Grand Concourse.,138 St-Grand Concourse,EMS
135,11/30/22 5:07,NYC,"QNS, A Train, Part Suspended","A trains are not running between Broad Channel and Far Rockaway-Mott Av in both directions while we work to remove debris from the tracks at Beach 25 St. Far Rockaway-bound A trains are running to/from Rockaway Park-Beach 116 St. Some southbound A trains will end at Howard Beach-JFK Airport or Ozone Park-Lefferts Blvd. For service between Broad Channel and Far Rockaway-Mott Av, consider using Q22 or Q53-SBS service.",Beach 25 St,remove debris
136,11/30/22 5:03,NYC,"MANH, 1 Train, Some Reroutes","Southbound 1 trains are delayed while we remove a train from service and request EMS for a person in need at 103 St. Some southbound 1 trains will run express from 137 St-City College to 96 St. For service to/from bypassed stations, take a northbound 1 train.",103 St,EMS
138,11/30/22 4:44,NYC,"A Train, Delays",Northbound A trains are delayed while we work to remove debris from the tracks at Beach 25 St.,Beach 25 St,remove debris
140,11/30/22 4:20,NYC,"BKLYN, N and Q Trains, Multiple Changes","There are no Q trains from Prospect Park to Atlantic Av-Barclays Ctr while we address a switch malfunction near Atlantic Av-Barclays Ctr. Northbound Q trains will end at Prospect Park and turn for southbound service. For continued service into Manhattan, consider D/N trains. Expect delays in northbound N trains while they share the track with rerouted trains.",Atlantic Av-Barclays Ctr,switch
143,11/30/22 3:29,NYC,"BKLYN, Q Train, Delays",Northbound Q trains are delayed while we address a switch problem near Atlantic Av-Barclays Ctr.,Atlantic Av-Barclays Ctr,switch
145,11/30/22 3:04,NYC,"BKLYN, MANH, D, N, and Q Trains, Multiple Changes",Some northbound Q trains are running on the N line from DeKalb Av to Canal St. We're performing track maintenance near Grand St. Expect delays in northbound D/N/Q service.,Grand St,track maintenance
148,11/30/22 2:25,NYC,"QNS, E Train, Delays",Northbound E trains are delayed while we perform track maintenance at Queens Plaza.,Queens Plaza,track maintenance
152,11/30/22 1:48,NYC,"MANH, 2 Train, Delays",2 trains are delayed in both directions while we perform track maintenance at Wall St.,Wall St,track maintenance
156,11/30/22 1:18,NYC,"MANH, 2 Train, Local to Express","Southbound 2 trains are running express between 14 St and Chambers St while we perform track maintenance. For local service, take a southbound 1 train.",na,track maintenance
159,11/30/22 0:59,NYC,"MANH, Q Train, Delays",Southbound Q trains are delayed while NYPD responds to a person being disruptive at Times Sq-42 St.,Times Sq-42 St,disruptive
160,11/30/22 0:57,NYC,"MANH, R Train, Delays",Northbound R trains are delayed while NYPD responds to a person being disruptive at 86 St.,86 St,disruptive
163,11/29/22 23:48,NYC,"BKLYN, D Train, Trains Rerouted","Northbound D trains are running along the N line from Coney Island-Stillwell Av to 36 St while we address a switch malfunction near 36 St. For service to/from bypassed stations, take a southbound train. Expect delays in northbound N service while they share the track with rerouted trains.",36 St,switch
164,11/29/22 23:29,NYC,"MANH, 42 St S Train, Suspended","S service is suspended in both directions while NYPD conducts an investigation at Times Sq-42 St. As an alternative, consider using 7 service on the lower level.",Times Sq-42 St,investigation
167,11/29/22 22:23,NYC,"MANH, N and R Trains, Delays",N/R trains are delayed in both directions while we address a train with a mechanical problem near Lexington Av/59 St.,Lexington Av/59 St,mechanical problem
169,11/29/22 21:53,NYC,"QNS, N and W Trains, Delays",Northbound N/W trains are delayed while we request NYPD assistance with a person being disruptive at Queensboro Plaza.,Queensboro Plaza,disruptive
174,11/29/22 21:24,NYC,"MANH, F Train, Delays",Southbound F trains are delayed while we request NYPD assistance with an unauthorized person on the tracks at East Broadway.,East Broadway,unauthorized person
175,11/29/22 21:23,NYC,"BKLYN, F Train, Delays",F trains are delayed entering/leaving Coney Island-Stillwell Av while NYPD responds to a person being disruptive on a train at that station.,Coney Island-Stillwell Av,disruptive
177,11/29/22 21:02,NYC,"BX, 6 Train, Delays",6 trains are running with delays in both directions after we addressed a signal problem at Pelham Bay Park.,Pelham Bay Park,signal
178,11/29/22 20:47,NYC,"QNS, 7 and 7X Trains, Multiple Changes",7 trains are delayed in both directions wjile we work to correct a mechanical problem on a work train at 82 St-Jackson Hts. 7X service is suspended.,82 St-Jackson Hts,mechanical problem
181,11/29/22 20:34,NYC,"BKLYN, L Train, Delays",Canarsie-Rockaway Pkwy-bound L trains are delayed due to an NYPD investigation at Myrtle-Wyckoff Avs.,Myrtle-Wyckoff Avs,investigation
183,11/29/22 19:19,NYC,"BKLYN, 2 and 3 Trains, Delays",Northbound 2/3 trains are delayed while we investigate why a train's brakes activated near Eastern Pkwy-Brooklyn Museum.,Eastern Pkwy-Brooklyn Museum,brake
184,11/29/22 19:13,NYC,"E, F, M, and R Trains, Delays",E/F/M/R trains are running with delays in both directions following multiple incidents in Queens and Manhattan. Allow additional travel time. What Happened? NYPD removed an unauthorized person from the tracks at 50 St. We moved a trains that had their brakes activated near Queens Plaza and 23 St.,50 St,unauthorized person
185,11/29/22 19:10,NYC,"MANH, E, F, and M Trains, Delays",Southbound E/F and Metropolitan Av-bound M trains are running with delays after NYPD removed an unauthorized person from the tracks at 50 St. Trains have resumed making regular station stops.,50 St,unauthorized person
188,11/29/22 18:52,NYC,"MANH, E Train, Delays",Southbound E trains are delayed while we request NYPD assistance with an unauthorized person on the tracks at 50 St.,50 St,unauthorized person
190,11/29/22 18:47,NYC,"QNS, J Train, Delays",Broad St-bound J trains are delayed while we remove a train with a door problem from service at Woodhaven Blvd.,Woodhaven Blvd,door
192,11/29/22 18:30,NYC,"MANH, F and M Trains, Delays",Stillwell Av-bound F and Metropolitan Av-bound M trains are delayed while we investigate why a train's brakes activated near 23 St.,23 St,brake
193,11/29/22 18:29,NYC,"QNS, E, F, M, and R Trains, Delays",Southbound E/F/R and Metropolitan Av-bound M trains are running with delays after we moved a train that had its brakes activated near Queens Plaza. Trains have resumed making regular station stops.,Queens Plaza,brake
195,11/29/22 18:01,NYC,"QNS, E and F Trains, Delays",Southbound E/F trains are delayed while we investigate why a train's brakes activated near Queens Plaza.,Queens Plaza,brake
196,11/29/22 17:47,NYC,"MANH, A Train, Delays",Northbound A trains are running with delays after we requested NYPD assistance with a person being disruptive at 181 St.,181 St,disruptive
198,11/29/22 17:01,NYC,"BKLYN, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while we request NYPD assistance with passengers being disruptive at Borough Hall.,Borough Hall,disruptive
199,11/29/22 16:27,NYC,"BKLYN, D and N Trains, Delays",Northbound D/N trains are running with delays after we moved a train that had its brakes activated at Coney Island-Stillwell Av. Trains have resumed making regular station stops.,Coney Island-Stillwell Av,brake
201,11/29/22 16:07,NYC,"BKLYN, D and N Trains, Delays",Southbound D/N trains are delayed while we investigate why a train's brakes activated near DeKalb Av.,DeKalb Av,brake
203,11/29/22 15:56,NYC,"BKLYN, D Train, Delays",D trains are delayed in both directions while we investigate why a train's brakes activated at Coney Island-Stillwell Av.,Coney Island-Stillwell Av,brake
205,11/29/22 15:22,NYC,"MANH, F Train, Delays",Southbound F trains are delayed while we request NYPD assistance with passengers being disruptive at Delancey St-Essex St.,Delancey St-Essex St,disruptive
208,11/29/22 15:13,NYC,"BKLYN, J and M Trains, Delays",Jamaica-bound J and Middle Village-bound M trains are running with delays after we conducted track maintenance between Marcy Av and Hewes St. Trains have resumed making regular stops.,Marcy Av and Hewes St,track maintenance
210,11/29/22 14:37,NYC,"BX, 6 Train, Delays",Northbound 6 trains are delayed while we address a switch malfunction at Parkchester.,Parkchester,switch
212,11/29/22 14:17,NYC,"MANH, 4 and 5 Trains, Delays",Northbound 4/5 trains are delayed while NYPD responds to a person being disruptive on a train at 125 St.,125 St,disruptive
214,11/29/22 13:47,NYC,"BKLYN, 2 and 5 Trains, Delays",Southbound 2/5 trains are delayed while we remove a train from service at Winthrop St after a train crew member was assaulted on that train.,Winthrop St\,disruptive
217,11/29/22 13:31,NYC,"BKLYN, QNS, J and M Trains, Delays",Jamaica Center-Parsons/Archer-bound J trains are running on the local track from Marcy Av to Myrtle Av. We are performing track maintenance between Marcy Av and Hewes St. Expect a longer wait for a northbound M train while they share the track with rerouted trains.,Marcy Av and Hewes St,track maintenance
218,11/29/22 12:30,NYC,"MANH, A and C Trains, Delays",Southbound A/C trains are running with delays after we removed a vandalized train car from service at Chambers St.,Chambers St,vandalized
219,11/29/22 12:20,NYC,"QNS, A Train, Delays",A trains are running with delays in both directions after NYPD responded to an unauthorized person on the tracks at Aqueduct-N Conduit Av.,Aqueduct-N Conduit Av,unauthorized person
221,11/29/22 11:57,NYC,"BKLYN, F and G Trains, Delays",Northbound F and Court Sq-bound G trains are running with delays while our crews perform track maintenance between W 8 St-NY Aquarium and Avenue X.,W 8 St-NY Aquarium,track maintenance
223,11/29/22 11:21,NYC,"BKLYN, N Train, Express to Local",Northbound N trains are on the local track from 59 St to 36 St while we remove a train with a mechanical problem from service at 59 St.,59 St,mechanical problem
224,11/29/22 11:09,NYC,"BX, 2 Train, Delays",Northbound 2 trains are delayed while we request NYPD assistance for an individual being disruptive on a train at Gun Hill Rd.,Gun Hill Rd,disruptive
225,11/29/22 11:03,NYC,"BKLYN, F and G Trains, Some Reroutes",Some northbound F and Court Sq-bound G trains are running express from Church Av to Smith-9 Sts while our crews perform track maintenance at Church Av,Church Av,track maintenance
227,11/29/22 10:57,NYC,"QNS, M and R Trains, Delays",Metropolitan Av-bound M and southbound R trains are running with delays after we moved a train that had its brakes activated near 36 St (Queens).,36 St (Queens),brake
228,11/29/22 10:52,NYC,"MANH, 1 Train, Delays",Northbound 1 trains are delayed while we remove a train with a mechanical problem from service at Times Sq-42 St.,Times Sq-42 St,mechanical problem
229,11/29/22 10:37,NYC,"BKLYN, F Train, Delays",Northbound F trains are running with delays after we moved a train that had its brakes activated at Avenue U.,Avenue U,brake
232,11/29/22 9:54,NYC,"QNS, 7 Train, Delays",Flushing-Main St-bound 7 trains are running with delays after we removed a train with a mechanical problem from service at 52 St.,52 St,mechanical problem
234,11/29/22 9:38,NYC,"BKLYN, F Train, Delays",Southbound F trains are running with delays after we investigated what caused a train's brakes to activate at Avenue U.,Avenue U,brake
237,11/29/22 9:28,NYC,"BKLYN, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while we investigate why a train's brakes were activated at Borough Hall.,Borough Hall,brake
238,11/29/22 9:15,NYC,"MANH, 4 and 5 Trains, Delays",Southbound 4/5 trains are running with delays after we moved a train that had its brakes activated at 86 St. Southbound 4/5 trains have resumed running on the express track from 125 St to Grand Central-42 St.,86 St,brake
240,11/29/22 9:08,NYC,"MANH, 7 Train, Delays",34 St-Hudson Yards-bound 7 trains are delayed while we address a door problem on a train at Times Sq-42 St.,Times Sq-42 St,door
241,11/29/22 9:06,NYC,"BX, 2 and 5 Trains, Delays",Southbound 2/5 trains are running with delays after we investigated reports of a person being disruptive at 3 Av-149 St.,3 Av-149 St,disruptive
242,11/29/22 8:51,NYC,"MANH, 4, 5, and 6 Trains, Multiple Changes",Southbound 4/5 trains are running on the local track from 125 St to Grand Central-42 St. We are investigating why a train's brakes were activated at 86 St. Some southbound 5 trains will run via the 2 line from 149 St-Grand Concourse to Nevins St. Expect a longer wait for a southbound 6 train while they share the track with rerouted trains.,86 St,brake
243,11/29/22 8:25,NYC,"BX, 6 Train, Delays",Southbound 6X trains are running with delays after someone was riding on the side of a train near Pelham Bay Park.,Pelham Bay Park,riding on
244,11/29/22 8:12,NYC,"MANH, 1 Train, Slow Speeds",Southbound 1 trains are running at slower speeds at Cathedral Pkwy (110 St) because of a signal problem in the area.,Cathedral Pkwy (110 St),signal
247,11/29/22 7:56,NYC,"BKLYN, A and C Trains, Delays",Northbound A/C trains are delayed while we request EMS for someone in need of assistance on a train at Jay St-MetroTech.,Jay St-MetroTech,EMS
248,11/29/22 7:54,NYC,"BKLYN, N Train, Delays",Northbound N trains are delayed while we request NYPD assistance for someone being disruptive on a train at Avenue U.,Avenue U,disruptive
250,11/29/22 7:39,NYC,"QNS, A Train, Delays",A trains are delayed in both directions while we investigate reports of vandalism on a train at Far Rockaway-Mott Av.,Far Rockaway-Mott Av,vandalism
253,11/29/22 7:23,NYC,"BX, 4 Train, Delays",Southbound 4 trains are running with delays after NYPD responded to a person being disruptive at 161 St-Yankee Stadium.,161 St-Yankee Stadium,disruptive
254,11/29/22 7:21,NYC,"BKLYN, 2 and 5 Trains, Delays",Southbound 2/5 trains are delayed while we request NYPD for a person being disruptive at Church Av.,Church Av,disruptive
255,11/29/22 7:21,NYC,"BX, 4, 5, 6, and 6X Trains, Multiple Changes",6 trains are running with extensive delays in both directions after we addressed a signal problem near Westchester Sq-E Tremont Av. Southbound 6X trains have resumed running on the express track from Parkchester to 3 Av-138 St. Some 4/5 trains are running on the local track between 125 St and Brooklyn Bridge-City Hall in both directions.,Westchester Sq-E Tremont Av,signal
257,11/29/22 7:14,NYC,"QNS, A Train, Delays",Far Rockaway-Mott Av-bound A trains are delayed while we investigate a door problem on a train at Beach 67 St.,Beach 67 St,door
260,11/29/22 7:09,NYC,"BKLYN, B and Q Trains, Delays",Northbound B/Q trains are delayed while NYPD responds to someone being disruptive on a train at DeKalb Av.,DeKalb Av,disruptive
262,11/29/22 7:02,NYC,"MANH, 4 and 6 Trains, Delays",Southbound 4/6 trains are running with delays after we addressed a mechanical problem with the platform extender at 14 St-Union Sq.,14 St-Union Sq,mechanical problem
265,11/29/22 6:49,NYC,"BX, 5 Train, Delays",Southbound 5 trains are delayed while we remove a train with a mechanical problem from service at E 180 St.,E 180 St,mechanical problem
266,11/29/22 6:37,NYC,"QNS, E Train, Delays",Southbound E trains are delayed while we request EMS for someone in need of assistance on a train at Queens Plaza.,Queens Plaza,EMS
267,11/29/22 6:25,NYC,"BX, 6X Train, Express to Local",Southbound 6X trains are running on the local track from Parkchester to 3 Av-138 St because of a signal problem near Westchester Sq-E Tremont Av.,Westchester Sq-E Tremont Av,signal
268,11/29/22 6:23,NYC,"BKLYN, A and C Trains, Delays",Southbound A/C trains are running with delays after we addressed a mechanical problem on a train at Jay St-MetroTech.,Jay St-MetroTech,mechanical problem
269,11/29/22 5:38,NYC,"J Train, Delays",You may wait longer for a northbound J train. We are running as much service as we can with the crews we have available.,na,na
271,11/29/22 5:29,NYC,"QNS, A Train, Delays",Northbound A trains are running with delays after we investigated why a train's brakes were activated at Broad Channel.,Broad Channel,brake
275,11/29/22 5:09,NYC,"MANH, N Train, Delays",Southbound N trains are delayed while NYPD responds to a person being disruptive aboard a train at City Hall.,City Hall,disruptive
276,11/29/22 5:08,NYC,"MANH, N Train, Delays",Northbound N trains are running with delays after NYPD responded to a person being disruptive at Canal St.,Canal St,disruptive
277,11/29/22 5:03,NYC,"BKLYN, N and R Trains, Delays",Southbound N/R trains are delayed while we investigate what caused a train's brakes to activate at 59 St.,59 St,brake
278,11/29/22 4:28,NYC,"MANH, QNS, F and M Trains, Trains Rerouted","Northbound F trains are running via the M from 47-50 Sts-Rockefeller Ctr to Queens Plaza while we replace a rail near 57 St. For service to/from bypassed stations, take a southbound train.",57 St,rail
279,11/29/22 3:30,NYC,"MANH, 2 Train, Delays",Northbound 2 trains are running with delays after we performed urgent track maintenance near Chambers St. Northbound 2 trains have resumed local service from Chambers St to 14 St.,Chambers St,track maintenance
283,11/29/22 3:17,NYC,"MANH, 1 and 2 Trains, Delays",Southbound 1/2 trains are delayed while we investigate the source of smoke at 14 St.,14 St,smoke
